,STARFRUIT
0,5000.0
1,5002.0
2,5000.0
3,4999.5
4,4998.5
5,5002.0
6,4999.5
7,5000.0
8,5002.5
9,5002.5
10,4999.0
11,4999.5
12,5000.0
13,5002.0
14,4998.5
15,5000.0
16,5000.0
17,4999.5
18,4998.5
19,5002.5
20,4998.5
21,5002.0
22,5000.0
23,5000.0
24,5000.5
25,4999.5
26,5000.5
27,5000.5
28,5000.5
29,4999.5
30,4999.0
31,5002.0
32,4999.5
33,5000.0
34,5000.5
35,5003.0
36,5000.5
37,5000.5
38,5001.0
39,4999.5
40,5001.0
41,4999.5
42,5001.0
43,5000.5
44,4999.5
45,5000.0
46,5000.5
47,5000.0
48,5000.5
49,5000.0
50,4997.5
51,5001.0
52,5000.0
53,5000.5
54,5001.0
55,5003.0
56,5002.5
57,5001.5
58,5002.5
59,5002.0
60,5002.0
61,5002.0
62,5002.5
63,5001.5
64,4998.5
65,5002.0
66,4998.5
67,4998.5
68,5000.5
69,5000.5
70,4999.5
71,4998.5
72,5001.5
73,5000.5
74,5004.0
75,5001.0
76,5000.5
77,5000.5
78,5003.0
79,5001.0
80,5001.5
81,5001.0
82,5003.5
83,5002.0
84,5001.5
85,5000.0
86,5001.0
87,5003.0
88,5003.5
89,5001.5
90,4999.5
91,5001.5
92,5000.5
93,5002.5
94,4999.5
95,5001.0
96,5002.0
97,5000.5
98,5000.5
99,4999.0
100,4999.5
101,5000.0
102,4999.0
103,5002.0
104,4999.5
105,4999.5
106,4999.5
107,5000.5
108,5000.5
109,5001.5
110,5000.5
111,5001.5
112,5001.0
113,5001.0
114,5000.5
115,5000.5
116,5000.5
117,5000.0
118,5001.0
119,5001.0
120,4998.5
121,5001.0
122,5000.5
123,5000.5
124,5001.5
125,5002.0
126,5001.0
127,5001.0
128,5000.5
129,5003.0
130,5002.0
131,5001.0
132,5000.0
133,5000.5
134,5000.5
135,4997.5
136,5002.0
137,5001.0
138,5001.5
139,5001.5
140,5000.5
141,5000.5
142,5001.0
143,4997.5
144,5000.5
145,5000.0
146,5000.5
147,4999.5
148,5001.0
149,5001.0
150,5001.0
151,5000.5
152,5000.5
153,5000.5
154,5000.5
155,4999.5
156,4999.5
157,5000.0
158,5000.5
159,5000.5
160,4999.5
161,5002.5
162,5001.0
163,4999.5
164,4997.0
165,4999.0
166,4999.5
167,4998.5
168,4999.5
169,4999.5
170,4999.5
171,4999.5
172,4996.5
173,4999.5
174,4999.5
175,5000.0
176,5000.0
177,4999.0
178,4999.0
179,4998.5
180,5000.0
181,4999.5
182,4999.0
183,4997.5
184,4998.5
185,4997.5
186,4999.0
187,5001.0
188,4999.0
189,4998.5
190,4998.5
191,4998.0
192,4999.5
193,4999.0
194,4998.5
195,4999.0
196,5000.0
197,5000.0
198,4999.5
199,5000.0
200,4999.5
201,4998.5
202,4999.5
203,5002.5
204,4999.5
205,4998.5
206,4999.5
207,4999.0
208,4999.0
209,4998.5
210,4999.0
211,4999.0
212,4999.0
213,4999.0
214,4998.5
215,4999.0
216,4998.5
217,4998.5
218,4998.5
219,4999.5
220,4999.5
221,5001.0
222,5000.5
223,5000.5
224,5002.5
225,5000.0
226,4997.5
227,5000.0
228,4999.0
229,4997.0
230,4999.5
231,4998.5
232,5000.5
233,5002.5
234,5001.5
235,5001.5
236,5002.0
237,4999.5
238,5001.0
239,5000.5
240,5002.0
241,4999.5
242,4998.5
243,4999.5
244,5000.0
245,5002.5
246,4999.5
247,4998.5
248,4998.5
249,4998.5
250,4998.5
251,5001.5
252,4999.0
253,4997.5
254,4998.5
255,4998.0
256,4996.5
257,4998.0
258,5000.0
259,4997.5
260,4998.0
261,4998.0
