,STARFRUIT
0,5039.5
1,5042.0
2,5040.0
3,5040.5
4,5039.5
5,5040.5
6,5040.5
7,5040.0
8,5039.5
9,5039.5
10,5040.0
11,5040.5
12,5040.0
13,5036.5
14,5039.5
15,5042.0
16,5040.0
17,5038.5
18,5040.0
19,5039.5
20,5036.5
21,5039.5
22,5039.5
23,5040.0
24,5042.5
25,5039.5
26,5038.5
27,5037.5
28,5041.5
29,5038.5
30,5038.0
31,5038.0
32,5038.0
33,5037.5
34,5037.5
35,5037.5
36,5038.0
37,5036.0
38,5036.5
39,5037.5
40,5038.0
41,5038.0
42,5038.0
43,5038.0
44,5039.0
45,5039.0
46,5038.0
47,5036.5
48,5036.5
49,5036.5
50,5035.0
51,5038.5
52,5036.0
53,5035.5
54,5033.5
55,5036.0
56,5037.0
57,5033.5
58,5037.5
59,5036.0
60,5034.5
61,5032.5
62,5034.5
63,5030.5
64,5035.0
65,5035.0
66,5033.0
67,5033.0
68,5033.5
69,5032.5
70,5034.0
71,5033.0
72,5033.0
73,5033.0
74,5032.5
75,5033.5
76,5034.5
77,5032.5
78,5036.5
79,5036.0
80,5034.0
81,5034.0
82,5032.5
83,5034.0
84,5035.0
85,5034.5
86,5033.5
87,5032.5
88,5034.0
89,5033.5
90,5033.5
91,5033.0
92,5031.5
93,5035.0
94,5033.0
95,5032.0
96,5029.5
97,5032.5
98,5032.5
99,5032.5
100,5032.5
101,5034.0
102,5031.5
103,5032.0
104,5031.5
105,5033.0
106,5031.5
107,5032.5
108,5032.5
109,5032.0
110,5031.5
111,5031.0
112,5031.0
113,5030.5
114,5030.5
115,5031.0
116,5029.5
117,5030.0
118,5029.5
119,5028.5
120,5028.5
121,5029.0
122,5028.5
123,5027.0
124,5029.0
125,5028.5
126,5029.5
127,5030.5
128,5029.5
129,5029.5
130,5030.5
131,5033.0
132,5030.5
133,5030.5
134,5032.0
135,5032.0
136,5034.0
137,5033.0
138,5032.0
139,5032.5
140,5035.5
141,5034.0
142,5032.5
143,5032.0
144,5031.5
145,5030.5
146,5032.0
147,5032.0
148,5031.0
149,5031.5
150,5031.5
151,5034.0
152,5030.0
153,5031.0
154,5030.0
155,5030.5
156,5031.5
157,5031.0
158,5030.5
159,5031.5
160,5033.0
161,5032.5
162,5033.5
163,5031.5
164,5029.0
165,5030.5
166,5031.0
167,5031.5
168,5031.5
169,5032.0
170,5031.5
171,5030.5
172,5030.5
173,5028.5
174,5029.0
175,5029.5
176,5029.5
177,5029.5
178,5029.5
179,5029.5
180,5031.5
181,5029.5
182,5032.5
183,5030.5
184,5029.5
185,5030.5
186,5030.5
187,5031.0
188,5030.5
189,5033.0
190,5035.0
191,5031.0
192,5033.5
193,5035.0
194,5035.5
195,5035.0
196,5035.0
197,5035.5
198,5035.5
199,5036.0
200,5035.5
201,5036.0
202,5035.5
203,5036.0
204,5035.5
205,5038.0
206,5036.5
207,5037.0
208,5039.5
209,5037.5
210,5037.5
211,5037.5
212,5037.5
213,5034.5
214,5037.5
215,5037.0
216,5038.5
217,5038.0
218,5035.5
219,5039.0
220,5037.0
221,5038.5
222,5038.0
223,5039.5
224,5039.5
225,5039.5
226,5039.5
227,5039.5
228,5039.5
229,5039.5
230,5040.0
231,5040.0
232,5039.5
233,5038.5
234,5040.0
235,5040.5
236,5038.5
237,5040.5
238,5040.0
239,5043.0
240,5040.5
241,5039.5
242,5043.5
243,5041.0
244,5040.5
245,5041.0
246,5041.0
247,5040.5
248,5040.5
249,5039.5
250,5040.5
251,5039.5
252,5036.5
253,5039.0
254,5038.5
255,5038.0
256,5041.5
257,5038.5
258,5042.0
259,5039.5
260,5040.5
261,5040.5
262,5040.0
263,5041.0
264,5037.5
265,5043.5
266,5040.5
267,5038.5
268,5040.5
269,5040.5
270,5040.5
271,5040.5
272,5040.0
273,5042.0
274,5039.5
275,5041.5
276,5041.5
277,5043.5
278,5041.5
279,5042.0
280,5041.5
281,5039.5
282,5042.5
283,5041.5
284,5042.5
285,5044.5
286,5041.5
287,5042.5
288,5042.0
289,5043.0
290,5042.5
291,5041.5
292,5041.5
293,5043.5
294,5042.5
295,5043.0
296,5042.5
297,5043.0
298,5043.0
299,5041.5
300,5046.5
301,5042.5
302,5044.5
303,5043.5
304,5043.5
305,5042.0
306,5042.5
307,5039.5
308,5042.0
309,5042.0
